EmployeeID,EmployeeName,Department,Location,HireDate
178,Zinal Rajagopal,Operations,Bulandshahr,2023-01-16
179,Fitan Krishnamurthy,HR,Guwahati,2024-07-24
180,Tanveer Dhaliwal,IT,Panchkula,2023-06-21
181,Eesha Seth,Customer Support,Akola,2024-04-06
182,Yatin Swaminathan,Marketing,Jehanabad,2024-05-10
183,Abha Naidu,Marketing,Pali,2022-01-22
184,Frado Sinha,Operations,Vadodara,2021-07-10
185,Chasmum Madan,IT,Ajmer,2024-05-04
186,Simon Chakraborty,IT,Haridwar,2021-10-14
187,Pooja Mann,HR,Aurangabad,2024-07-14
188,Chaitanya Kapur,HR,Pune,2025-05-12
189,Kashish Batra,Marketing,Sasaram,2022-10-14
190,Baghyawati Contractor,IT,Lucknow,2025-10-22
191,Anita Pillay,Operations,Thanjavur,2023-06-23
192,Abhiram Rajagopal,Operations,Agartala,2023-09-18
193,Falan Narayan,Operations,Purnia,2022-04-16
194,Qarin Mutti,Sales,Khandwa,2023-04-01
195,Vrinda Sabharwal,Finance,Aizawl,2024-09-23
196,Kevin Grover,IT,Rajahmundry,2024-08-25
197,Aryan Chaudhuri,IT,Kolhapur,2023-09-26
198,Quincy Andra,HR,Ghaziabad,2022-09-17
199,Deepa Nath,Marketing,Jaunpur,2024-08-11
200,Advika Ravi,Operations,Vadodara,2021-08-02
201,Dalbir Chand,Sales,Sikar,2024-11-02
202,Jack Bajwa,Sales,Jamalpur,2025-08-28
203,Damini Jha,IT,Silchar,2023-01-21
204,Varsha Kapadia,Finance,Mirzapur,2025-07-08
205,Frado Saran,Operations,Bhiwandi,2024-04-09
206,Vedika Sehgal,Sales,Panipat,2022-07-21
207,Wyatt Muni,Marketing,Gurgaon,2022-12-28
208,Xavier Wason,Finance,Lucknow,2021-10-05
209,Lila Peri,HR,Nellore,2023-06-08
210,Ganga Dhar,Operations,Vellore,2023-12-16
211,Udant Bhatti,Customer Support,Jodhpur,2022-05-27
212,Pooja Ravel,Marketing,Warangal,2026-01-15
213,Pratyush Naidu,IT,Kottayam,2025-05-16
214,Jeremiah Chaudhry,IT,Ozhukarai,2026-05-02
215,Ranbir Murthy,Marketing,Junagadh,2023-10-08
216,Isaiah Amble,Finance,Bhagalpur,2023-05-14
217,Yashica Misra,HR,Bokaro,2025-04-12
218,Inaya Garde,Finance,Siliguri,2023-08-16
219,Rayaan Gokhale,HR,Guwahati,2024-10-13
220,Kavya Prashad,Customer Support,Kadapa,2023-10-10
221,Atharv Sant,Finance,Sri Ganganagar,2021-11-23
222,Indrajit Amble,Marketing,Surat,2023-05-22
223,Amara Bumb,Finance,Avadi,2023-11-06
224,Nidra Kaur,Sales,Coimbatore,2025-05-10
225,Zarna Soman,IT,Vijayanagaram,2025-12-07
226,Ayaan Kadakia,Finance,Purnia,2025-05-26
227,Janani Banik,HR,Coimbatore,2025-06-07
228,Gagan Bakshi,Customer Support,Chandigarh,2024-06-13
229,Falan Narasimhan,Operations,Warangal,2022-01-13
230,Darsh Lall,IT,Jammu,2025-06-03
231,Tanish Khurana,HR,Udupi,2023-03-25
232,Ishita Date,IT,Saharanpur,2021-06-30
233,Janya Anand,Finance,Bahraich,2025-05-12
234,Lajita Srinivas,Marketing,Secunderabad,2021-12-08
235,Forum Contractor,Marketing,Bhubaneswar,2026-05-15
236,Elijah Garg,Operations,Bidhannagar,2022-09-05
237,Harita Pal,Finance,Cuttack,2025-09-17
238,Mitali Mallick,Marketing,Tumkur,2025-06-30
239,Devansh Comar,IT,Narasaraopet,2023-02-11
240,Vihaan Savant,HR,Maheshtala,2025-04-27
241,Girik Mall,Sales,Ghaziabad,2025-08-02
242,Oviya Tella,Operations,Udaipur,2025-12-01
243,Dipta Butala,Marketing,Phusro,2022-05-01
244,Balveer Jaggi,Sales,Saharsa,2025-10-12
245,Reva Dhillon,Finance,Rourkela,2024-02-05
246,Bhavani Hora,IT,Gopalpur,2023-05-08
247,Yauvani Kata,HR,Dewas,2021-12-29
248,Brinda Mani,HR,Suryapet,2024-08-14
249,Upkaar Singhal,Marketing,Panchkula,2022-05-10
250,Ranbir Bhagat,IT,Haldia,2022-05-11
251,Ekani Bhat,Operations,Loni,2024-03-31
252,Max Dubey,Operations,Sirsa,2022-12-22
253,Nicholas Sharaf,HR,Indore,2021-09-03
254,Naksh Chandra,HR,Davanagere,2023-01-25
255,Bachittar Madan,Marketing,Jaipur,2024-06-21
256,Pranit Balakrishnan,Customer Support,Amaravati,2021-08-15
257,Yamini Tara,Customer Support,Delhi,2025-08-08
258,Meghana Bhardwaj,Customer Support,Purnia,2026-03-31
259,Warinder Date,Marketing,Kolkata,2023-06-19
260,Hemani Sridhar,Customer Support,Indore,2022-02-27
261,Dalbir Sant,Customer Support,Kulti,2024-11-30
262,Udyati Borde,IT,Ambattur,2022-11-22
263,Brinda Bath,Sales,Bathinda,2023-06-19
264,Wazir Tiwari,IT,Uluberia,2021-10-10
265,Alexander Comar,Sales,Bokaro,2024-02-07
266,Patrick Narain,Marketing,Kakinada,2025-11-24
267,Azaan Bali,Finance,Ludhiana,2025-06-23
268,Ekansh Deshpande,Finance,Ambattur,2021-06-27
269,Neel Rastogi,Finance,Gulbarga,2025-07-27
270,Samaksh Gera,HR,Gaya,2026-02-05
271,Gagan Ganguly,Finance,Lucknow,2026-05-20
272,Udant Dube,IT,South Dumdum,2026-04-09
273,Ishwar Sura,Finance,Muzaffarpur,2025-08-09
274,Neha Patla,Finance,Raipur,2025-11-23
275,Jasmit Dutta,Customer Support,Akola,2024-05-31
276,Qarin Majumdar,Marketing,Giridih,2022-07-07
277,Eesha Soman,Sales,Rajpur Sonarpur,2022-01-23
278,Anya Char,IT,Ozhukarai,2024-05-31
279,Ryan Chaudhary,Sales,Jaunpur,2025-05-19
280,Gopal Johal,Marketing,Baranagar,2024-12-28
281,Hemang Suresh,Marketing,Naihati,2023-06-04
282,Baghyawati Singhal,Sales,Gandhidham,2022-02-27
283,Anthony Dora,HR,Dharmavaram,2024-01-12
284,Amrita Sangha,HR,Sambhal,2022-10-02
285,Krisha Chand,Finance,Anand,2024-09-11
286,Niharika Gara,IT,Pondicherry,2024-04-09
287,Ojasvi Walia,Operations,Hyderabad,2021-07-14
288,Yug Behl,HR,Satara,2021-10-24
289,Ria Bali,Sales,Bikaner,2022-06-13
290,Yoshita Sunder,Sales,Satara,2022-07-06
291,Omisha Mammen,Sales,Chennai,2024-04-13
292,Krish Brar,Marketing,Vasai-Virar,2023-05-04
293,Ridhi Maharaj,Operations,Muzaffarpur,2024-04-17
294,Saanvi Randhawa,IT,Mirzapur,2022-06-25
295,Abha Batra,Marketing,Siliguri,2023-12-10
296,Baljiwan Ganguly,HR,Ujjain,2023-04-30
297,David Lalla,Marketing,Medininagar,2022-02-04
298,Chaitaly Biswas,Operations,Gwalior,2024-11-22
299,Isha Prabhakar,HR,Agartala,2025-09-24
300,Pranav Radhakrishnan,IT,Panvel,2025-08-05
301,Hemal Johal,Finance,Jalandhar,2025-10-10
302,Devansh Kar,Marketing,New Delhi,2023-05-18
303,Ishwar Kothari,Sales,Thane,2025-11-08
304,Darika Dayal,Marketing,North Dumdum,2023-08-30
305,Daniel Badami,Customer Support,Thrissur,2023-12-03
306,Gopal Nagi,Sales,Kumbakonam,2024-03-05
307,Oni Karnik,Marketing,Sri Ganganagar,2022-01-26
308,Ayushman Wason,HR,Shahjahanpur,2023-10-31
309,Chavvi Sharaf,IT,Bhusawal,2024-03-30
310,Krishna Mandal,IT,Varanasi,2021-10-06
311,Quincy Warrior,Marketing,South Dumdum,2024-08-07
312,Utkarsh Bhardwaj,Marketing,Ambala,2021-08-08
313,Robert Kala,HR,Patna,2024-04-11
314,Ekalinga Kaul,Marketing,Dehri,2022-07-04
315,Balveer Raj,Finance,Jalgaon,2023-02-10
316,Jeet Sankar,IT,Amritsar,2024-07-27
317,Fitan Biswas,Finance,Gandhinagar,2021-12-07
318,Gautam Sharaf,Marketing,Dindigul,2025-08-07
319,Teerth Tak,Finance,Mumbai,2023-02-15
320,Amol Vasa,Sales,Thiruvananthapuram,2024-04-02
321,Turvi More,HR,Anantapur,2022-03-24
322,Mitali Shere,HR,Pondicherry,2023-07-27
323,Oni Kade,Marketing,Hyderabad,2023-08-24
324,Chanchal Nagarajan,Marketing,Guna,2023-09-28
325,Kamala Kumar,Finance,Hajipur,2023-10-26
326,Nandini Bhardwaj,IT,Malda,2025-07-05
327,Nachiket Prashad,Sales,Mysore,2022-09-26
328,Ekavir Shroff,Marketing,Muzaffarpur,2026-01-22
329,Harini Basu,Finance,Rourkela,2023-08-04
330,Michael Chacko,Operations,Bhusawal,2025-11-29
331,Aarini Pandey,IT,Bhiwandi,2021-12-10
332,Onveer Vig,Sales,Kavali,2026-03-23
333,Veer Nayar,Customer Support,Nagpur,2023-10-28
334,Ishita Garg,Sales,Bhilai,2024-04-20
335,Zinal Srinivasan,Operations,Jehanabad,2024-07-15
336,Naksh Chacko,Marketing,Latur,2024-12-25
337,Radhika Nagar,Marketing,Jaipur,2025-06-09
338,Isaac Mann,IT,Ambattur,2025-05-21
339,Matthew Nadig,Customer Support,Ambala,2024-04-07
340,Faris Chandran,HR,Gwalior,2025-02-13
341,Krishna Ravi,IT,Ongole,2022-02-05
342,David Sachar,IT,Siliguri,2024-05-01
343,Bishakha Shenoy,Sales,Nanded,2024-05-21
344,Christopher Vaidya,Operations,Vadodara,2026-02-15
345,Umang Korpal,Operations,Amaravati,2024-06-24
346,Fiyaz Prabhakar,Finance,Haldia,2024-12-22
347,Vyanjana Deep,Finance,Tadipatri,2023-03-20
348,Jeremiah Naidu,Marketing,Sambalpur,2023-11-14
349,Ayaan Mutti,Finance,Jodhpur,2024-03-03
350,Tanay Shroff,Marketing,Hajipur,2021-12-12
351,Janani Krishnan,HR,Ongole,2023-06-18
352,Anya Bhavsar,HR,Durg,2021-06-19
353,Lekha Dhaliwal,Finance,Fatehpur,2024-09-13
354,Oni Banik,Finance,Vijayawada,2022-03-12
355,Dalaja Chhabra,Sales,Hajipur,2023-11-13
356,Yashoda Rao,Sales,Bhatpara,2026-03-04
357,Maya Tiwari,Operations,Ozhukarai,2025-04-09
358,Bhavika Ray,Customer Support,Bilaspur,2023-11-17
359,Vansha Sidhu,Operations,Akola,2024-04-16
360,Prisha Mital,Customer Support,Danapur,2021-09-02
361,Vaishnavi Pandit,Operations,Pallavaram,2025-02-23
362,Jasmit Dua,HR,Sasaram,2025-06-09
363,Upasna Lad,Customer Support,Satara,2025-12-27
364,Yatin Malhotra,HR,Bharatpur,2022-01-01
365,Chavvi Lala,HR,Katni,2025-03-26
366,Ekbal Madan,Customer Support,Asansol,2023-04-24
367,Lekha Bhatnagar,Marketing,New Delhi,2022-06-28
368,Bakhshi Dasgupta,Customer Support,Dibrugarh,2025-07-23
369,Ekansh Magar,Sales,Etawah,2024-04-04
370,Jalsa Bhatnagar,Sales,Anantapuram,2022-02-22
371,Anirudh Bajwa,Sales,Kurnool,2025-01-20
372,Aadhya Saini,Finance,Hazaribagh,2022-10-14
373,Omkaar Magar,Operations,Kirari Suleman Nagar,2023-12-03
374,Upasna Ben,Marketing,Shimla,2022-04-24
375,Ekalinga Chana,Operations,Satna,2022-11-27
376,Jagvi Naidu,Sales,Malegaon,2024-11-04
377,Chameli Mahal,Sales,Pudukkottai,2024-12-17
378,Jagat Kalita,Marketing,Meerut,2026-01-23
379,Sai Bhasin,IT,Gandhinagar,2025-07-21
380,Tarak Kulkarni,Sales,Nizamabad,2026-03-04
381,Anmol Vaidya,HR,Proddatur,2024-02-19
382,Dakshesh Sangha,Finance,Motihari,2021-06-30
383,Yatin Dhar,HR,Chittoor,2023-08-24
384,Lekha Keer,HR,Dharmavaram,2023-03-18
385,Aadhya Biswas,Marketing,Jamshedpur,2025-08-02
386,Frederick Khanna,IT,Ranchi,2022-10-16
387,Janaki More,Customer Support,Parbhani,2021-11-25
388,Pallavi Warrior,Sales,Mau,2025-04-01
389,Darika Kannan,Customer Support,Sambhal,2024-10-05
390,Chaaya Thakur,Marketing,Anantapur,2022-11-20
391,Ishani Atwal,Sales,Rampur,2024-10-14
392,Faqid Varkey,Sales,Thiruvananthapuram,2025-05-10
393,Pranit Morar,Marketing,Kolhapur,2023-06-20
394,Dalbir Sibal,Customer Support,Raurkela Industrial Township,2022-09-27
395,Charan Manda,Marketing,Singrauli,2022-10-03
396,Avi Goyal,HR,Jodhpur,2025-06-06
397,Mahika Gaba,Operations,Coimbatore,2025-09-08
398,Siddharth Brar,Sales,Narasaraopet,2026-02-18
399,Reyansh Gopal,Marketing,Gandhidham,2023-11-17
400,Zashil Nigam,HR,Proddatur,2024-06-10
401,Darsh Pal,Operations,Bareilly,2022-05-07
402,Liam Narula,Marketing,Khammam,2021-06-24
403,Damyanti Patla,Marketing,Hazaribagh,2024-06-18
404,Zarna Ganguly,HR,Karawal Nagar,2023-04-11
405,Daksh Bal,IT,Sirsa,2024-04-21
406,Max Nori,HR,Indore,2021-10-07
407,Henry Sridhar,HR,Anand,2022-10-11
408,Pranav Misra,Finance,Burhanpur,2023-06-11
409,Ucchal Shetty,Sales,Pudukkottai,2025-02-13
410,Lipika Varty,Finance,Howrah,2024-11-10
411,Ishita Tata,Customer Support,Hyderabad,2021-08-11
412,Hitesh Kota,Operations,Bhilai,2023-01-18
413,Bimala Minhas,Sales,Shahjahanpur,2024-09-14
414,Tanay Deshpande,Marketing,Panvel,2022-11-22
415,Deepa Solanki,HR,Jaipur,2024-04-11
416,Leena Mishra,Customer Support,Kamarhati,2021-08-19
417,Vamakshi Mangat,Finance,Vasai-Virar,2023-08-13
418,Anamika Barad,Marketing,Raichur,2024-10-07
419,Anirudh Choudhary,Finance,Karawal Nagar,2022-07-21
420,Zaid Muni,Marketing,Thrissur,2022-03-14
421,Elijah Wason,HR,Bhiwani,2025-09-03
422,Vihaan Deo,Marketing,Raipur,2025-03-26
423,Ekansh Dora,IT,Bareilly,2023-06-14
424,Frederick Palan,HR,Ballia,2025-11-23
425,Vidhi Wason,HR,Miryalaguda,2025-01-16
426,Samarth Mani,Marketing,Sri Ganganagar,2022-08-25
427,Omya Kapur,Marketing,Vasai-Virar,2025-02-23
428,Laksh Sankaran,IT,Siwan,2023-07-21
429,Rachit Mammen,Marketing,Chandigarh,2023-06-21
430,Chaitaly Thaman,Marketing,Avadi,2024-07-09
431,Orinder Varghese,IT,Panchkula,2025-09-13
432,Frado Sachar,Operations,Madhyamgram,2024-02-24
433,Jasmit Bhagat,Operations,Muzaffarnagar,2024-11-30
434,Ayaan Batta,Operations,Raurkela Industrial Township,2024-02-07
435,Aayush Goel,Customer Support,Karimnagar,2021-09-28
436,George Koshy,Sales,Bikaner,2025-09-10
437,Zaid Dey,Operations,Shahjahanpur,2023-12-19
438,Mekhala Sinha,Finance,Kolkata,2025-04-24
439,Viraj Keer,HR,Dharmavaram,2025-01-18
440,Yatan Shetty,Marketing,Alwar,2023-10-13
441,Panini Sarkar,Sales,Sri Ganganagar,2021-11-19
442,Pratyush Gade,HR,Patiala,2024-03-10
443,Hamsini Pal,Sales,Karnal,2024-07-26
444,Sanaya Merchant,Sales,Firozabad,2025-04-02
445,Shaurya Wagle,Customer Support,Hindupur,2022-04-25
446,Hardik Sarma,Operations,Panvel,2024-06-12
447,Farhan Sura,HR,Bally,2022-03-08
448,Jeevika Gulati,Finance,Surendranagar Dudhrej,2025-07-08
449,Ekaja Zachariah,Finance,Karimnagar,2022-12-13
450,Xiti Bajwa,Operations,Jabalpur,2021-11-27
451,Alka Chander,Finance,Hyderabad,2024-03-29
452,Nathan Mukherjee,Sales,Thane,2025-07-19
453,Meghana Venkataraman,HR,Gaya,2025-04-16
454,Zehaan Om,Customer Support,Raichur,2024-03-10
455,Sai Sinha,Operations,Hyderabad,2024-08-06
456,Aadhya Ratta,Sales,Bokaro,2025-01-11
457,Ati Bains,Marketing,Aurangabad,2025-11-27
458,Robert Prabhu,IT,Begusarai,2024-07-06
459,Meghana Batra,Sales,Muzaffarnagar,2022-11-18
460,Edhitha Raju,Finance,Khammam,2022-04-24
461,Keya Mani,Operations,Bokaro,2024-06-14
462,Bhavya Dada,Sales,Mango,2023-11-06
463,Ekalinga Parikh,IT,Bhavnagar,2022-09-22
464,Rayaan Chahal,Sales,Kulti,2022-04-20
465,Dalaja Narang,Operations,Bidar,2024-03-16
466,Warjas Vasa,IT,Mangalore,2022-05-11
467,Madhavi Konda,Sales,Bokaro,2022-11-21
468,Samesh Ramakrishnan,Finance,Ajmer,2026-05-26
469,Anika Dhar,Marketing,Jaunpur,2024-08-11
470,Damyanti Samra,IT,Kadapa,2026-02-09
471,Oviya Srinivas,Finance,Kota,2021-07-10
472,Gauri Sunder,IT,Pondicherry,2022-08-18
473,Amruta Sur,Finance,Tiruppur,2023-06-26
474,Tanveer Chauhan,Sales,Begusarai,2024-11-18
475,Sara Madan,Sales,Purnia,2022-06-26
476,Jason Solanki,IT,Khora,2023-01-11
477,Ayushman Narula,Marketing,Agartala,2024-11-11
478,Hemang Patil,Customer Support,Ramagundam,2021-08-15
479,Yatin Tank,Operations,Mango,2023-06-06
480,Odika Parmer,IT,Eluru,2021-11-15
481,Bhavani Ratti,IT,Amroha,2022-09-05
482,Raksha Dasgupta,Marketing,Kalyan-Dombivli,2024-08-22
483,Waida Sinha,Sales,Srikakulam,2024-06-17
484,Qasim Borde,Marketing,Hospet,2024-08-27
485,Fariq Kar,IT,Parbhani,2026-01-14
486,Elijah Hans,Sales,Katihar,2022-08-15
487,Idika Apte,Marketing,Singrauli,2024-02-24
488,Aryan Salvi,Customer Support,Varanasi,2022-06-21
